 Size (nm)  Layer Thickness (nm)  Dispersion
         1                   0.5    2.000000
         1                   1.0    1.500000
         1                   2.0    1.000000
         2                   0.5    1.200000
         2                   1.0    1.000000
         2                   2.0    0.750000
         3                   0.5    0.857143
         3                   1.0    0.750000
         3                   2.0    0.600000
         4                   0.5    0.666667
         4                   1.0    0.600000
         4                   2.0    0.500000
         5                   0.5    0.545455
         5                   1.0    0.500000
         5                   2.0    0.428571
         6                   0.5    0.461538
         6                   1.0    0.428571
         6                   2.0    0.375000
         7                   0.5    0.400000
         7                   1.0    0.375000
         7                   2.0    0.333333
         8                   0.5    0.352941
         8                   1.0    0.333333
         8                   2.0    0.300000
         9                   0.5    0.315789
         9                   1.0    0.300000
         9                   2.0    0.272727
        10                   0.5    0.285714
        10                   1.0    0.272727
        10                   2.0    0.250000
        11                   0.5    0.260870
        11                   1.0    0.250000
        11                   2.0    0.230769
        12                   0.5    0.240000
        12                   1.0    0.230769
        12                   2.0    0.214286
        13                   0.5    0.222222
        13                   1.0    0.214286
        13                   2.0    0.200000
        14                   0.5    0.206897
        14                   1.0    0.200000
        14                   2.0    0.187500
        15                   0.5    0.193548
        15                   1.0    0.187500
        15                   2.0    0.176471
        16                   0.5    0.181818
        16                   1.0    0.176471
        16                   2.0    0.166667
        17                   0.5    0.171429
        17                   1.0    0.166667
        17                   2.0    0.157895
        18                   0.5    0.162162
        18                   1.0    0.157895
        18                   2.0    0.150000
        19                   0.5    0.153846
        19                   1.0    0.150000
        19                   2.0    0.142857
        20                   0.5    0.146341
        20                   1.0    0.142857
        20                   2.0    0.136364
        21                   0.5    0.139535
        21                   1.0    0.136364
        21                   2.0    0.130435
        22                   0.5    0.133333
        22                   1.0    0.130435
        22                   2.0    0.125000
        23                   0.5    0.127660
        23                   1.0    0.125000
        23                   2.0    0.120000
        24                   0.5    0.122449
        24                   1.0    0.120000
        24                   2.0    0.115385
        25                   0.5    0.117647
        25                   1.0    0.115385
        25                   2.0    0.111111
        26                   0.5    0.113208
        26                   1.0    0.111111
        26                   2.0    0.107143
        27                   0.5    0.109091
        27                   1.0    0.107143
        27                   2.0    0.103448
        28                   0.5    0.105263
        28                   1.0    0.103448
        28                   2.0    0.100000
        29                   0.5    0.101695
        29                   1.0    0.100000
        29                   2.0    0.096774
        30                   0.5    0.098361
        30                   1.0    0.096774
        30                   2.0    0.093750
        31                   0.5    0.095238
        31                   1.0    0.093750
        31                   2.0    0.090909
        32                   0.5    0.092308
        32                   1.0    0.090909
        32                   2.0    0.088235
        33                   0.5    0.089552
        33                   1.0    0.088235
        33                   2.0    0.085714
        34                   0.5    0.086957
        34                   1.0    0.085714
        34                   2.0    0.083333
        35                   0.5    0.084507
        35                   1.0    0.083333
        35                   2.0    0.081081
        36                   0.5    0.082192
        36                   1.0    0.081081
        36                   2.0    0.078947
        37                   0.5    0.080000
        37                   1.0    0.078947
        37                   2.0    0.076923
        38                   0.5    0.077922
        38                   1.0    0.076923
        38                   2.0    0.075000
        39                   0.5    0.075949
        39                   1.0    0.075000
        39                   2.0    0.073171
        40                   0.5    0.074074
        40                   1.0    0.073171
        40                   2.0    0.071429
        41                   0.5    0.072289
        41                   1.0    0.071429
        41                   2.0    0.069767
        42                   0.5    0.070588
        42                   1.0    0.069767
        42                   2.0    0.068182
        43                   0.5    0.068966
        43                   1.0    0.068182
        43                   2.0    0.066667
        44                   0.5    0.067416
        44                   1.0    0.066667
        44                   2.0    0.065217
        45                   0.5    0.065934
        45                   1.0    0.065217
        45                   2.0    0.063830
        46                   0.5    0.064516
        46                   1.0    0.063830
        46                   2.0    0.062500
        47                   0.5    0.063158
        47                   1.0    0.062500
        47                   2.0    0.061224
        48                   0.5    0.061856
        48                   1.0    0.061224
        48                   2.0    0.060000
        49                   0.5    0.060606
        49                   1.0    0.060000
        49                   2.0    0.058824
        50                   0.5    0.059406
        50                   1.0    0.058824
        50                   2.0    0.057692
        51                   0.5    0.058252
        51                   1.0    0.057692
        51                   2.0    0.056604
        52                   0.5    0.057143
        52                   1.0    0.056604
        52                   2.0    0.055556
        53                   0.5    0.056075
        53                   1.0    0.055556
        53                   2.0    0.054545
        54                   0.5    0.055046
        54                   1.0    0.054545
        54                   2.0    0.053571
        55                   0.5    0.054054
        55                   1.0    0.053571
        55                   2.0    0.052632
        56                   0.5    0.053097
        56                   1.0    0.052632
        56                   2.0    0.051724
        57                   0.5    0.052174
        57                   1.0    0.051724
        57                   2.0    0.050847
        58                   0.5    0.051282
        58                   1.0    0.050847
        58                   2.0    0.050000
        59                   0.5    0.050420
        59                   1.0    0.050000
        59                   2.0    0.049180
        60                   0.5    0.049587
        60                   1.0    0.049180
        60                   2.0    0.048387
        61                   0.5    0.048780
        61                   1.0    0.048387
        61                   2.0    0.047619
        62                   0.5    0.048000
        62                   1.0    0.047619
        62                   2.0    0.046875
        63                   0.5    0.047244
        63                   1.0    0.046875
        63                   2.0    0.046154
        64                   0.5    0.046512
        64                   1.0    0.046154
        64                   2.0    0.045455
        65                   0.5    0.045802
        65                   1.0    0.045455
        65                   2.0    0.044776
        66                   0.5    0.045113
        66                   1.0    0.044776
        66                   2.0    0.044118
        67                   0.5    0.044444
        67                   1.0    0.044118
        67                   2.0    0.043478
        68                   0.5    0.043796
        68                   1.0    0.043478
        68                   2.0    0.042857
        69                   0.5    0.043165
        69                   1.0    0.042857
        69                   2.0    0.042254
        70                   0.5    0.042553
        70                   1.0    0.042254
        70                   2.0    0.041667
        71                   0.5    0.041958
        71                   1.0    0.041667
        71                   2.0    0.041096
        72                   0.5    0.041379
        72                   1.0    0.041096
        72                   2.0    0.040541
        73                   0.5    0.040816
        73                   1.0    0.040541
        73                   2.0    0.040000
        74                   0.5    0.040268
        74                   1.0    0.040000
        74                   2.0    0.039474
        75                   0.5    0.039735
        75                   1.0    0.039474
        75                   2.0    0.038961
        76                   0.5    0.039216
        76                   1.0    0.038961
        76                   2.0    0.038462
        77                   0.5    0.038710
        77                   1.0    0.038462
        77                   2.0    0.037975
        78                   0.5    0.038217
        78                   1.0    0.037975
        78                   2.0    0.037500
        79                   0.5    0.037736
        79                   1.0    0.037500
        79                   2.0    0.037037
        80                   0.5    0.037267
        80                   1.0    0.037037
        80                   2.0    0.036585
        81                   0.5    0.036810
        81                   1.0    0.036585
        81                   2.0    0.036145
        82                   0.5    0.036364
        82                   1.0    0.036145
        82                   2.0    0.035714
        83                   0.5    0.035928
        83                   1.0    0.035714
        83                   2.0    0.035294
        84                   0.5    0.035503
        84                   1.0    0.035294
        84                   2.0    0.034884
        85                   0.5    0.035088
        85                   1.0    0.034884
        85                   2.0    0.034483
        86                   0.5    0.034682
        86                   1.0    0.034483
        86                   2.0    0.034091
        87                   0.5    0.034286
        87                   1.0    0.034091
        87                   2.0    0.033708
        88                   0.5    0.033898
        88                   1.0    0.033708
        88                   2.0    0.033333
        89                   0.5    0.033520
        89                   1.0    0.033333
        89                   2.0    0.032967
        90                   0.5    0.033149
        90                   1.0    0.032967
        90                   2.0    0.032609
        91                   0.5    0.032787
        91                   1.0    0.032609
        91                   2.0    0.032258
        92                   0.5    0.032432
        92                   1.0    0.032258
        92                   2.0    0.031915
        93                   0.5    0.032086
        93                   1.0    0.031915
        93                   2.0    0.031579
        94                   0.5    0.031746
        94                   1.0    0.031579
        94                   2.0    0.031250
        95                   0.5    0.031414
        95                   1.0    0.031250
        95                   2.0    0.030928
        96                   0.5    0.031088
        96                   1.0    0.030928
        96                   2.0    0.030612
        97                   0.5    0.030769
        97                   1.0    0.030612
        97                   2.0    0.030303
        98                   0.5    0.030457
        98                   1.0    0.030303
        98                   2.0    0.030000
        99                   0.5    0.030151
        99                   1.0    0.030000
        99                   2.0    0.029703
       100                   0.5    0.029851
       100                   1.0    0.029703
       100                   2.0    0.029412
